molecule_id,smiles,dipolemoment_max,pyr_P_max,pyr_alpha_max,qpole_amp_max,qpoletens_xx_max,qpoletens_yy_max,qpoletens_zz_max,sterimol_B1_max,sterimol_B5_max,sterimol_L_max,sterimol_burB1_max,sterimol_burB5_max,sterimol_burL_max,vbur_far_vbur_max,vbur_far_vtot_max,vbur_max_delta_qvbur_max,vbur_max_delta_qvtot_max,vbur_near_vbur_max,vbur_near_vtot_max,vbur_ovbur_max_max,vbur_ovbur_min_max,vbur_ovtot_max_max,vbur_ovtot_min_max,vbur_qvbur_max_max,vbur_qvbur_min_max,vbur_qvtot_max_max,vbur_qvtot_min_max,vbur_vbur_max,dipolemoment_min,pyr_P_min,pyr_alpha_min,qpole_amp_min,qpoletens_xx_min,qpoletens_yy_min,qpoletens_zz_min,sterimol_B1_min,sterimol_B5_min,sterimol_L_min,sterimol_burB1_min,sterimol_burB5_min,sterimol_burL_min,vbur_far_vbur_min,vbur_far_vtot_min,vbur_max_delta_qvbur_min,vbur_max_delta_qvtot_min,vbur_near_vbur_min,vbur_near_vtot_min,vbur_ovbur_max_min,vbur_ovbur_min_min,vbur_ovtot_max_min,vbur_ovtot_min_min,vbur_qvbur_max_min,vbur_qvbur_min_min,vbur_qvtot_max_min,vbur_qvtot_min_min,vbur_vbur_min,dipolemoment_delta,pyr_P_delta,pyr_alpha_delta,qpole_amp_delta,qpoletens_xx_delta,qpoletens_yy_delta,qpoletens_zz_delta,sterimol_B1_delta,sterimol_B5_delta,sterimol_L_delta,sterimol_burB1_delta,sterimol_burB5_delta,sterimol_burL_delta,vbur_far_vbur_delta,vbur_far_vtot_delta,vbur_max_delta_qvbur_delta,vbur_max_delta_qvtot_delta,vbur_near_vbur_delta,vbur_near_vtot_delta,vbur_ovbur_max_delta,vbur_ovbur_min_delta,vbur_ovtot_max_delta,vbur_ovtot_min_delta,vbur_qvbur_max_delta,vbur_qvbur_min_delta,vbur_qvtot_max_delta,vbur_qvtot_min_delta,vbur_vbur_delta,dipolemoment_vburminconf,pyr_P_vburminconf,pyr_alpha_vburminconf,qpole_amp_vburminconf,qpoletens_xx_vburminconf,qpoletens_yy_vburminconf,qpoletens_zz_vburminconf,sterimol_B1_vburminconf,sterimol_B5_vburminconf,sterimol_L_vburminconf,sterimol_burB1_vburminconf,sterimol_burB5_vburminconf,sterimol_burL_vburminconf,vbur_far_vbur_vburminconf,vbur_far_vtot_vburminconf,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_vburminconf,vbur_near_vbur_vburminconf,vbur_near_vtot_vburminconf,vbur_ovbur_max_vburminconf,vbur_ovbur_min_vburminconf,vbur_ovtot_max_vburminconf,vbur_ovtot_min_vburminconf,vbur_qvbur_max_vburminconf,vbur_qvbur_min_vburminconf,vbur_qvtot_max_vburminconf,vbur_qvtot_min_vburminconf,vbur_vbur_vburminconf,E_oxidation_boltzmann_average,E_reduction_boltzmann_average,E_solv_cds_boltzmann_average,E_solv_elstat_boltzmann_average,E_solv_total_boltzmann_average,Pint_P_int_boltzmann_average,Pint_P_max_boltzmann_average,Pint_P_min_boltzmann_average,Pint_dP_boltzmann_average,dipolemoment_boltzmann_average,efg_amp_P_boltzmann_average,efgtens_xx_P_boltzmann_average,efgtens_yy_P_boltzmann_average,efgtens_zz_P_boltzmann_average,fmo_e_homo_boltzmann_average,fmo_e_lumo_boltzmann_average,fmo_eta_boltzmann_average,fmo_mu_boltzmann_average,fmo_omega_boltzmann_average,fukui_m_boltzmann_average,fukui_p_boltzmann_average,nbo_P_boltzmann_average,nbo_P_ra_boltzmann_average,nbo_P_rc_boltzmann_average,nbo_bd_e_avg_boltzmann_average,nbo_bd_e_max_boltzmann_average,nbo_bd_occ_avg_boltzmann_average,nbo_bd_occ_min_boltzmann_average,nbo_bds_e_avg_boltzmann_average,nbo_bds_e_min_boltzmann_average,nbo_bds_occ_avg_boltzmann_average,nbo_bds_occ_max_boltzmann_average,nbo_lp_P_e_boltzmann_average,nbo_lp_P_occ_boltzmann_average,nbo_lp_P_percent_s_boltzmann_average,nmr_P_boltzmann_average,nmrtens_sxx_P_boltzmann_average,nmrtens_syy_P_boltzmann_average,nmrtens_szz_P_boltzmann_average,nuesp_P_boltzmann_average,pyr_P_boltzmann_average,pyr_alpha_boltzmann_average,qpole_amp_boltzmann_average,qpoletens_xx_boltzmann_average,qpoletens_yy_boltzmann_average,qpoletens_zz_boltzmann_average,somo_ra_boltzmann_average,somo_rc_boltzmann_average,sphericity_boltzmann_average,spindens_P_ra_boltzmann_average,spindens_P_rc_boltzmann_average,sterimol_B1_boltzmann_average,sterimol_B5_boltzmann_average,sterimol_L_boltzmann_average,sterimol_burB1_boltzmann_average,sterimol_burB5_boltzmann_average,sterimol_burL_boltzmann_average,surface_area_boltzmann_average,vbur_far_vbur_boltzmann_average,vbur_far_vtot_boltzmann_average,vbur_max_delta_qvbur_boltzmann_average,vbur_max_delta_qvtot_boltzmann_average,vbur_near_vbur_boltzmann_average,vbur_near_vtot_boltzmann_average,vbur_ovbur_max_boltzmann_average,vbur_ovbur_min_boltzmann_average,vbur_ovtot_max_boltzmann_average,vbur_ovtot_min_boltzmann_average,vbur_qvbur_max_boltzmann_average,vbur_qvbur_min_boltzmann_average,vbur_qvtot_max_boltzmann_average,vbur_qvtot_min_boltzmann_average,vbur_ratio_vbur_vtot_boltzmann_average,vbur_vbur_boltzmann_average,vbur_vtot_boltzmann_average,vmin_r_boltzmann_average,vmin_vmin_boltzmann_average,volume_boltzmann_average
8,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.78541,0.81482863,32.633045,2.2864656,1.1552081,0.41502175,-0.6392358,3.747826,5.9094825,6.9111395,3.8230383,5.5634437,6.860824,4.1308484,8.228518,6.910968,33.229294,67.68277,238.58348,19.419601,-0.05085241,76.681725,-0.13222693,22.811983,14.3110285,88.3484,52.366055,72.1351,0.7549814,0.7987773,33.251347,1.4345993,0.9493883,0.510235,-1.9257565,3.9628627,5.6960497,6.9177823,3.9902287,5.4607434,6.754804,7.533207,13.698819,5.9586415,29.73332,68.48268,246.54156,18.94807,0.026310733,84.56165,0.043660473,17.50992,14.536649,93.64429,51.977795,73.71912,-0.2638372,0.026042525,1.9595016,-1.0622591,-0.90320784,-0.59236836,-0.8663407,-0.23767059,0.15632854,0.2980631,-0.2232226,0.22179154,0.20322548,-2.2545452,-12.281075,1.1313977,-4.340489,-1.3691587,-11.550923,-0.23354302,-0.16769047,-3.6894531,0.06210045,-0.03881548,1.0136048,-2.7250473,-3.594088,-3.8063602,0.7368331,0.82675105,31.689957,3.2307346,2.1604168,0.66765124,-2.329428,3.7923493,5.8577714,7.313438,3.907087,5.498711,6.8902574,6.024361,20.522892,6.1797953,37.046852,68.95944,237.6419,19.951986,0.02377815,79.79764,-0.0102272695,19.787973,14.4476595,89.84453,52.5675,73.18561,0.27500692,0.0676249,-3.4225037,-3.4601474,-6.965847,17.626339,28.764818,12.907845,2.7867205,0.7974686,1.7272503,-0.7884498,-0.5856611,1.400481,-0.21820122,0.03202462,0.2516976,-0.09022508,0.015635466,0.6803157,0.031380795,0.7464673,0.70439386,1.4021921,-0.43336812,-0.40569052,1.9448788,1.939665,0.18455696,0.18090093,0.05192044,0.060357083,-0.28756228,1.9374597,49.082897,219.9569,183.12819,231.38484,265.29532,-54.201565,0.8248984,31.549753,1.9523257,1.0019038,0.2150036,-1.1574845,0.107995465,-0.42689112,0.867863,0.06662068,0.85875165,3.9306445,6.024835,6.5855074,3.970474,5.8592076,6.566506,261.35373,3.2046587,8.411844,5.5711775,41.323032,67.404045,242.07819,19.095684,0.02094845,83.92965,0.13842143,20.849024,14.705131,92.370575,50.68907,0.2778164,72.06212,253.71219,1.7566873,-0.0698876,320.95413
12,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,0.81976014,0.8830144,28.70763,1.9975069,0.8562498,0.4044862,-1.1941597,4.0098853,6.177376,7.2970023,4.0420427,6.076985,7.1760206,5.0373154,9.588899,6.6990476,39.047977,70.33585,254.39725,19.481184,0.053999465,79.13736,-0.01566602,21.925417,15.056795,84.9249,55.67239,75.10733,1.0371491,0.84557515,24.65701,1.1723058,0.85875005,0.6613328,-1.4894776,4.05697,5.7492075,6.6440005,3.9698741,5.4201274,6.509464,2.3755903,1.1290007,4.291671,19.743254,67.06523,258.48886,19.266586,0.038947426,79.30416,0.1053485,19.74341,11.850752,87.54977,47.28698,66.12266,-0.16480452,0.041889112,3.895032,-0.17892417,-0.62384117,-0.41863954,-0.077407055,-0.0259489,0.15702806,0.8167475,-0.06409593,0.71495813,0.7157833,0.17170252,-2.5945535,2.1399155,4.5567455,2.3857045,-3.312511,0.70675015,-0.08338972,-0.79461074,-0.002396382,2.8650198,2.0404367,1.7776688,0.8305286,0.6697029,1.0842477,0.8526777,28.600727,3.0714562,1.8994764,0.5454874,-2.740749,4.054496,5.862263,7.394428,4.0717006,5.553325,6.9414454,1.3575739,5.022703,6.508785,38.88411,67.02696,251.35915,19.883774,0.038310684,82.10131,0.037430592,18.404345,12.851597,89.534676,54.808846,68.00641,0.28029844,0.06972368,-3.9578905,-3.3655624,-7.425046,17.634766,29.68628,12.868638,2.8667881,1.2179573,1.7278688,-0.7371867,-0.66282237,1.4173338,-0.22244804,0.032235622,0.2538167,-0.094828226,0.016830452,0.6445247,0.03255316,0.7418931,0.7405717,1.3810171,-0.43949297,-0.4289373,1.9524369,1.9431129,0.19133906,0.18572615,0.042758446,0.051516835,-0.29991966,1.9410756,50.61755,269.75583,219.4224,282.8442,296.44952,-54.199306,0.88470685,23.427935,1.7549615,0.81630903,0.38706023,-1.5252838,0.11079576,-0.43822727,0.8502457,0.067856774,0.7847734,4.2060733,6.143364,6.449639,4.1509514,6.0542054,6.643057,276.86682,3.5343766,8.200553,5.2942986,29.990854,70.47512,258.15955,19.651546,-0.02388273,87.30866,-0.32578886,21.402498,14.062596,89.65215,54.0397,0.2714648,74.782196,271.61676,1.7670971,-0.06413505,345.0149
14,CP(C(C)(C)C)C(C)(C)C,1.0765616,0.8785075,26.787773,2.577898,1.1843181,0.23438863,-1.49757,3.148944,5.9389534,7.1381626,3.292405,5.6425185,6.8639774,1.9997406,3.8032994,6.6767907,38.009426,58.89829,193.41725,18.213808,-0.19755648,70.767815,-0.5083214,19.300476,12.760589,72.823906,34.277046,60.720997,1.1225132,0.85009664,24.561556,2.4819381,1.3529534,0.4664608,-1.8618547,3.544534,5.296035,6.696791,3.5809119,4.9686217,6.561423,0.54005665,3.5105278,3.9517853,34.589092,58.69294,196.16473,16.492136,0.019928232,73.845024,0.06701453,13.608424,12.013318,79.57079,39.966724,60.31039,-0.2303167,0.024700655,1.4760365,-0.82882524,-0.9447615,-0.57538086,-0.6873567,-0.21109907,0.352162,0.6618592,-0.25493297,0.45685336,0.2352221,-2.4047582,-9.347425,0.86570996,-4.761784,0.16189894,-8.615799,0.7752662,-0.27788517,-4.676968,-0.67014825,0.15303147,0.35685292,-1.530347,-3.2186425,-3.687287,1.2400028,0.8538115,25.11483,3.5038862,2.1736567,0.6547791,-2.6048253,3.3908198,5.4081655,7.198349,3.3451006,5.0037637,6.740473,1.4363621,8.32754,2.9337075,34.358643,58.06041,189.64862,15.26928,0.032842502,71.4808,0.036080334,14.889563,12.068338,76.86798,35.402374,60.089237,0.28628287,0.073602565,-2.3322952,-3.1697578,-5.753325,17.018993,27.808704,12.229098,2.8142865,1.3952541,1.7552209,-0.8510115,-0.574441,1.4320172,-0.22437474,0.03447318,0.25411817,-0.09484027,0.017826432,0.6560437,0.05273414,0.7503645,0.6988139,1.3715141,-0.44292617,-0.42883208,1.9556826,1.9417201,0.19099784,0.18007156,0.040979005,0.053602234,-0.29728237,1.9405417,50.73539,275.06964,190.98485,282.55722,317.59283,-54.19763,0.88275504,24.203398,1.9280528,1.2954818,0.08552588,-1.7550269,0.11842437,-0.44416258,0.8755762,0.08018356,0.85028976,3.3105173,5.7719865,6.696431,3.3154054,5.5015645,6.5678544,218.68932,1.7504665,4.3849115,5.2134376,47.797466,57.791523,192.99208,17.423584,-0.00082241494,75.02388,0.03157072,18.049324,11.886334,79.08394,31.18515,0.29377955,60.32397,202.01001,1.766159,-0.067732625,255.21326
30,CC(C)(C)P(C1CCCCC1)C(C)(C)C,0.89589214,0.8746869,31.589151,1.2866876,0.7817398,0.02720762,-1.6649404,4.018336,6.58797,7.576771,4.0842957,6.463994,7.272931,6.8032494,12.670672,8.385912,65.591835,69.24965,273.90778,20.325184,-0.1552765,107.9811,-0.3038882,23.666664,15.2976055,117.18557,55.828598,75.41984,1.0212085,0.814724,25.704489,2.1935244,1.1568694,0.75718904,-1.512287,3.9293427,6.1629767,6.932481,3.9310532,5.7005615,6.725317,1.1330013,2.2003136,4.634387,43.728123,64.24282,265.34787,18.847921,0.008375361,99.25212,0.059304647,17.96672,13.085088,103.44223,49.366432,66.337326,-0.036394797,0.058927547,7.694571,0.06256043,-0.2672854,-0.24457133,-0.0020131555,0.19764894,0.4624068,0.6832332,0.18320274,0.3629507,0.41002902,3.5536673,2.9744358,5.5811934,20.029425,5.2655478,1.4965422,1.8585373,-0.10700406,4.115671,0.2395607,6.549218,2.2527635,9.256472,3.0388281,8.93466,0.99009174,0.83184725,30.382944,3.3362887,1.942671,0.87068456,-2.9668353,4.099048,6.377645,7.5043025,4.0961413,5.8396983,7.1501746,0.8594938,6.617813,5.121724,46.584984,64.595665,271.946,19.157553,0.028445518,102.00037,0.063493855,18.203693,13.3084545,109.01984,54.375103,64.98349,0.2763967,0.06604908,-5.259031,-3.516741,-9.093431,18.05072,30.307442,13.018186,3.142357,0.9482677,1.7251904,-0.7985014,-0.61853707,1.4100716,-0.22061357,0.02960238,0.2437683,-0.09572672,0.018726615,0.6700902,0.028217897,0.75384444,0.71150345,1.3088814,-0.43502843,-0.41285914,1.9481983,1.9378023,0.19091606,0.18287309,0.04545846,0.05429923,-0.29541844,1.9397571,49.95579,249.22148,210.52074,252.66658,297.04294,-54.2017,0.86538255,26.65249,2.213422,0.8063426,0.647951,-1.8465877,0.10859801,-0.41702676,0.8373468,0.054376885,0.850354,4.1007786,6.515253,6.9701953,4.132146,6.283741,6.8507824,291.9697,2.774603,7.252596,5.734316,59.938866,64.418564,268.56802,18.889183,-0.03604351,103.67251,-0.096076414,20.843653,14.0728855,114.98958,52.467056,0.24030086,68.657555,277.95822,1.7676865,-0.06671888,351.76666
31,CC(C)(C)P(c1ccccc1)C(C)(C)C,0.92252994,0.84812945,28.371716,5.221503,2.9058394,0.25677896,-2.8610153,3.761982,6.401472,7.161729,3.8121603,6.128562,6.7344313,2.7033758,3.9559262,8.9637375,48.757095,62.46339,248.15257,19.771881,-0.20617993,91.08454,-0.21587402,21.57737,12.899181,96.447075,48.18179,65.42668,1.1946372,0.83576334,28.033806,4.328408,2.624968,0.11972213,-3.7424939,3.7691011,6.2735205,7.364031,3.912632,6.064966,6.9664025,4.6668425,12.953281,8.972066,66.22457,63.993454,264.0736,19.433111,0.01401927,93.97078,0.033892248,22.448893,14.390082,109.54699,49.141403,70.27147,-0.21453841,0.0042722486,-0.1244255,0.0030417629,-0.42027858,0.05333653,0.5654847,-0.17629668,0.17478725,-0.15522799,-0.13896616,0.04157914,-0.28345054,-2.2723475,-11.095785,-1.0009646,-2.5685554,-0.6591371,-9.442188,-0.6032704,-0.16636607,-3.8013647,-0.021319233,-1.2364777,-0.18876845,-5.756215,-1.891842,-2.665039,1.0418812,0.84389937,28.60662,5.8681006,3.9842806,0.5637138,-3.7326543,3.7816684,6.525721,7.128196,3.8432767,5.9387116,6.9141374,1.6873126,15.060019,8.720371,53.73793,64.12858,246.6586,19.11671,0.014894008,95.88658,0.004136945,22.417397,13.874329,104.85538,48.58787,68.4487,0.27876976,0.029556504,-4.7197533,-4.608257,-9.416639,18.329737,31.143036,12.828376,3.2112591,1.0823721,1.7755013,-0.8532842,-0.6256915,1.4493582,-0.22475433,-0.024936136,0.20492204,-0.1257801,0.03872367,0.5898891,0.040073406,0.76720107,0.7164306,1.3023281,-0.44704112,-0.42495963,1.9465597,1.9338957,0.19720362,0.1793134,0.04859058,0.059876297,-0.29177162,1.9257963,48.96118,252.65056,214.76662,256.48535,289.22513,-54.19327,0.8467917,27.960083,5.1315317,3.4418473,-0.42901054,-3.344269,0.08216423,-0.4067489,0.838668,0.050999552,0.7395159,3.7585757,6.5045342,7.276607,3.7817044,6.120772,7.077157,272.45648,2.2004328,3.4199882,8.008862,56.448597,61.763325,262.99118,18.481709,5.9896232e-05,94.35895,0.10127301,19.75544,13.165076,102.34307,46.20305,0.24069172,65.416664,269.99518,1.7842069,-0.063362725,328.25925
78,CC(C)P(C(C)C)C(C)(C)C,1.053398,0.9068164,31.159063,3.1607742,1.3794485,1.1530237,-1.2620595,3.6951,6.077704,7.466147,3.8516436,5.857623,6.980706,4.0040636,8.688787,7.836978,49.786026,61.578094,216.3596,19.065914,-0.1399529,78.33115,-0.13871406,21.979511,13.242251,90.96024,44.725857,64.59698,0.9800517,0.82746446,22.5103,2.326582,1.0869035,0.51339465,-2.9795249,3.1844501,5.384159,6.496628,3.1923127,5.096285,6.4694114,0.20983748,1.7105895,4.382951,27.775358,57.909885,211.33392,17.61198,0.0017096034,78.12705,0.013464169,15.7834635,10.951716,78.82614,36.57368,58.742104,0.09704453,0.072096206,9.262458,-0.017018095,-0.4175977,0.37308615,0.5005028,0.42527944,0.748687,1.0838989,0.37426203,0.45302743,0.58317417,2.193169,-0.9025819,5.221635,15.96613,2.487637,0.9776063,1.5339803,-0.21739294,2.3696365,0.06449904,5.3313527,2.4363286,5.2052903,6.59011,5.250324,1.0531913,0.8491649,28.196402,3.777489,2.1619844,0.8857263,-3.002909,3.602371,5.7989774,6.9815674,3.5926483,5.355296,6.8440566,0.5675716,1.7997047,5.6435633,35.678837,58.34198,212.59702,17.52163,0.010921131,77.243,0.012777579,16.361698,12.407775,86.91784,44.79473,57.997753,0.28570977,0.067394994,-3.21493,-3.2071853,-6.4787555,17.298307,28.528032,12.450802,2.9586074,1.1553806,1.6804081,-0.7735969,-0.60315615,1.3432531,-0.22656214,0.033590503,0.25139302,-0.093450956,0.017651983,0.6372564,0.059114467,0.73879623,0.68136775,1.2836732,-0.4387109,-0.42482454,1.9526657,1.9383337,0.19073421,0.18486926,0.039985728,0.05140484,-0.30381462,1.9457192,51.376244,257.95667,218.0162,276.07486,305.5737,-54.201347,0.901285,22.943436,2.578423,1.5651292,0.49699464,-1.9563459,0.114805005,-0.44937688,0.85924214,0.07492122,0.8233363,3.612527,5.8414254,6.66524,3.6084645,5.7473593,6.7149396,243.07388,1.5437841,4.173271,6.053835,46.40382,60.328133,213.07156,17.868153,0.0142521495,85.61221,-0.011712925,19.77843,12.369747,84.76566,42.550983,0.28740194,62.583714,220.52121,1.7747414,-0.06560608,279.92447
87,CCP(C(C)(C)C)C(C)(C)C,0.9446576,0.87517625,29.911814,2.978811,1.5083243,0.533506,-1.2854286,3.5296423,5.9589543,7.4019732,3.657415,5.9357004,6.9673953,1.9850047,2.9015782,6.706883,34.903587,62.25202,210.17378,18.756659,-0.33475268,69.97179,-0.4798535,22.328888,12.943287,75.341324,43.216938,63.517273,1.0577509,0.8269634,25.35632,2.3821075,1.2538984,0.43353683,-2.416239,3.4860957,5.215867,6.687738,3.5974257,4.7916903,6.6246896,0.5480018,0.12725973,3.7054799,25.344849,60.519516,212.3576,17.738022,0.024722598,70.99285,0.07260288,16.543732,11.402875,77.1914,36.8181,61.607487,-0.128163,0.040024333,4.521095,-0.18248676,-0.6513826,-0.09868055,-0.07346861,-0.082715616,0.49273032,0.88826716,-0.0737404,0.9238039,0.41281417,-1.3693798,-8.653512,2.7248106,5.344258,1.7491862,-5.7784705,1.5395793,-0.2740297,-0.49640828,0.20676313,3.7178524,1.165871,1.4085591,1.166909,-0.35493693,1.1952735,0.8379548,29.978333,3.5552757,2.2678986,0.6717853,-2.8274207,3.525111,5.4539447,7.4711027,3.5144727,5.1204143,6.8016815,0.651104,3.4846797,6.1505947,33.434772,60.258663,208.39786,18.511047,0.034761097,72.5526,0.03835955,16.090902,12.036867,74.01947,45.039806,61.709644,0.28319305,0.072476126,-3.0319014,-3.3336804,-6.458524,17.121279,27.786623,12.213559,2.8453455,1.1303596,1.7123237,-0.7803684,-0.6262141,1.394583,-0.22408782,0.033954132,0.2547838,-0.09500535,0.0172032,0.646487,0.0490966,0.7487415,0.68675244,1.3348417,-0.43813297,-0.42204812,1.9518483,1.9416939,0.19006507,0.18099856,0.041969508,0.049675815,-0.2991778,1.9429476,50.753292,270.4578,222.6159,270.8645,298.63144,-54.2,0.8748688,24.925045,2.2546067,1.5682191,0.26447257,-1.8758805,0.11858716,-0.44361925,0.86539036,0.08156732,0.8065708,3.542513,5.838411,6.613085,3.5147398,5.747126,6.5918484,234.87396,1.390635,3.5554101,4.707503,38.59665,61.13342,211.42435,17.311846,0.009127927,78.46466,0.07519008,18.383547,12.042441,78.613,37.5827,0.28965575,62.499237,219.76279,1.7666717,-0.06696269,278.01172
88,CCCCP(C(C)(C)C)C(C)(C)C,0.9843854,0.88633037,29.438051,2.9600105,1.6180152,0.83375055,-1.1583756,3.9676855,7.1798015,8.600213,3.981867,6.7746606,7.3014917,10.799827,17.019087,13.254055,49.490925,69.72744,243.41219,20.39087,-0.027689178,82.083084,0.21458936,27.796207,15.310961,89.35271,51.19711,79.97923,0.9643277,0.836956,24.039343,1.9785532,0.73874396,0.06597108,-2.449046,3.543793,5.4449825,6.6302695,3.5943747,5.1172495,6.5218964,0.44133458,0.61761636,3.143717,17.039907,60.465614,234.08629,17.287855,0.036610045,69.28114,0.101847336,15.856652,11.308392,79.49763,36.843956,60.527008,-0.026405184,0.050590377,5.7859063,0.5492784,-0.13852063,0.29190364,0.5704583,0.2839201,1.4358588,1.9396015,0.25993598,1.6008185,0.77057034,7.44725,7.427498,9.031156,17.956526,8.697275,8.620515,3.6515007,0.07357692,12.05081,-0.12974383,9.985905,2.936544,8.800409,7.16887,15.447001,1.058508,0.8534782,28.396816,5.750595,3.7411635,0.8583256,-2.9477649,3.6181211,6.3584824,8.262535,3.5762475,5.6819844,6.928455,0.29205182,4.0720577,5.6866217,46.96664,60.29748,242.18428,18.304392,0.047234494,81.65087,0.04570479,15.988051,11.975567,84.98888,44.451508,60.390816,0.28237522,0.0734404,-4.1766176,-3.3409805,-7.6124787,17.484533,29.251156,11.817255,3.0296514,1.186734,1.7102286,-0.7534867,-0.6438771,1.3971627,-0.22290064,0.03464238,0.25693166,-0.094951354,0.016463755,0.6594555,0.044626895,0.74806774,0.70008487,1.3648837,-0.43745106,-0.42732418,1.952144,1.9431094,0.1911192,0.18485875,0.040897705,0.048677463,-0.3001312,1.9415004,50.868137,274.97815,231.9982,279.666,306.93445,-54.20064,0.88595086,23.788588,2.0273137,0.9417113,-0.43103665,-1.7206323,0.11415956,-0.4371254,0.8299541,0.079075426,0.8082503,3.819705,6.582645,6.537013,3.7158823,6.2712026,6.5271125,274.00427,2.8063695,9.121012,4.7849317,36.53068,64.291985,239.63135,18.231691,0.018402113,78.65326,0.11209114,19.440296,13.989694,84.119255,43.381195,0.26557583,67.994484,255.30917,1.7643429,-0.06527917,324.28134
110,C[Si](C)(C)P([Si](C)(C)C)[Si](C)(C)C,1.1592342,0.8938406,22.328772,3.9409323,2.0146806,0.5832288,-2.7704797,4.551679,6.0399632,7.7749367,4.39759,5.795424,7.8858285,0.44442382,3.825622,5.282849,34.81777,57.896828,314.12582,19.388597,-0.04215931,88.910416,0.100276835,18.927162,11.40781,96.144104,65.812065,57.58309,1.5777615,0.8988408,23.070766,4.6407166,3.3394787,0.3780678,-2.465253,4.3215547,5.661768,7.188844,4.2694592,5.4851522,7.166852,1.0311751,3.289444,4.1981874,33.654953,56.727802,312.2782,16.321875,0.028141603,97.63015,0.015726283,16.024054,12.919856,94.89648,57.75811,55.411373,-0.0058658905,0.0106527135,-1.0732645,-1.1371632,-0.72644335,-0.58528936,-0.5742794,0.13005154,-0.16942489,0.94391096,0.11456665,0.62511945,0.28394988,2.1761053,8.80419,3.3546119,5.810987,1.2202933,6.0430627,1.9698833,0.23648423,-4.6864567,0.108327754,3.427601,0.55093414,3.4521244,2.6182883,3.0255315,1.3049191,0.9011015,22.878298,4.9299383,2.8999815,0.5056555,-2.9352643,4.3029633,5.5364375,7.9593105,4.1316233,5.608999,7.790251,1.2924517,0.2615303,3.9791062,31.454012,56.8322,315.1237,16.645657,0.008471356,90.99328,0.09812653,16.735909,12.688601,95.68154,63.06865,55.358,0.28002316,0.051210225,0.12282522,-4.548632,-4.392211,19.702454,36.947712,13.484544,4.193595,1.4664168,0.8156991,-0.50460684,-0.3000984,0.62738496,-0.2265199,0.011738387,0.2358022,-0.11115657,0.02526808,0.5665414,0.13312577,-0.61449075,-0.82934076,-0.09494705,-0.3773883,-0.3661258,1.949342,1.9512355,0.16564824,0.16061136,0.043161154,0.049692832,-0.30672917,1.888877,47.393562,573.4161,508.7247,530.41345,650.1978,-54.22517,0.9057555,22.700235,3.7400336,2.0778155,0.66646004,-2.9715047,0.097906746,-0.4236769,0.81062156,0.18488427,0.8245734,4.467945,6.061662,7.134621,4.4231505,5.9005594,7.1174827,311.80325,0.027101988,-0.20416412,4.402472,37.098248,56.956272,316.85452,17.048891,-0.030191893,92.89936,-0.4453775,17.832733,12.610526,95.986206,60.682907,0.17051977,56.075497,310.6365,1.8934842,-0.048914567,381.26532
254,CC(C)(C)P([Si](C)(C)C)[Si](C)(C)C,0.76579386,0.8673085,26.320538,2.8339036,1.3557831,1.2591391,-2.3647854,4.1615524,5.5768557,7.0868545,4.1467676,5.2854843,7.285014,0.74925053,2.4372025,3.7014873,25.038769,60.891315,292.34024,18.977846,-0.1120856,82.401505,-0.26775786,19.006777,12.209608,87.884476,58.841526,61.5916,1.1432979,0.86601514,25.239908,3.1239722,1.8809522,1.3656296,-2.268648,4.2062745,5.497482,7.3962474,4.1855226,5.3754363,7.3659487,1.449215,0.70709115,5.152091,23.084423,61.301144,288.72397,18.619461,0.031048087,89.84147,0.064968206,16.698267,12.532674,89.54865,58.87323,60.95256,0.06446913,0.0121814255,0.27484858,-1.2126241,-0.74394983,-0.55734605,-0.57524586,0.025987746,-0.08744327,-0.17426024,-0.051847976,-0.027807575,-0.11789416,0.46058553,0.07867467,-0.5195545,-2.1332006,-0.5029845,0.019169841,-0.18800484,0.0010872624,-2.519535,0.07508216,0.008509491,-0.15902387,-1.8324633,-1.8947945,0.3680645,1.0390143,0.870141,26.553555,4.231748,1.9889746,0.98572797,-3.1629717,4.1930323,5.547523,7.397819,4.1939836,5.4834647,7.387526,1.6322778,4.8141665,5.152321,24.442259,61.379322,292.4801,18.733507,0.031494483,86.38234,0.009461914,17.563581,12.927808,91.60201,61.595135,59.94539,0.27714443,0.057750758,-1.2108591,-4.253093,-5.542397,18.969534,34.3112,13.524352,3.747029,0.9194198,1.2931199,-0.7120156,-0.22537294,0.9495653,-0.222357,0.017820554,0.23696144,-0.10331766,0.021889526,0.5872144,0.16005506,-0.14627829,-0.32326567,0.40738803,-0.39507374,-0.37097725,1.947059,1.9455733,0.1678856,0.15965526,0.049021263,0.0534084,-0.30110973,1.905167,48.041355,431.65356,339.6107,363.64792,570.16614,-54.21747,0.88058287,25.61968,2.9704788,1.4472102,1.2433721,-2.256171,0.10254519,-0.43120885,0.8381406,0.24261141,0.8378755,4.2436647,5.648122,7.2869744,4.2327595,5.6435957,7.3650403,297.82867,0.3204794,1.016215,4.346261,26.282791,60.800213,289.0557,18.328833,-0.010621307,88.151436,-0.025565814,18.519869,12.593517,89.65133,59.348156,0.20519282,61.55398,291.80417,1.8506193,-0.05437108,361.1613
